Sample	SRA_Run_Id	Name	Sample Title	Description	BioProject	BioProject Title	Source	Country	collection date	INSDC center name	BioSample	Mouse strain
CC1	SRR12641940	CC1	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 1	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133327	C57BL/6J
CC2	SRR12506348	CC2	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 2	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201157	C57BL/6J
CC3	SRR12506347	CC3	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 3	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201158	C57BL/6J
CC4	SRR12506346	CC4	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 4	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201159	C57BL/6J
CC5	SRR12506343	CC5	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 5	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201160	C57BL/6J
CC6	SRR12506342	CC6	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 6	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201161	C57BL/6J
CC7	SRR12641939	CC7	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 7	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133328	C57BL/6J
CC8	SRR12641938	CC8	Cold exposed male mouse	Cecum sample of Cold exposed male mouse 8	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133329	C57BL/6J
CR1	SRR12506357	CR1	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 1	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201153	C57BL/6J
CR2	SRR12506356	CR2	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 2	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201154	C57BL/6J
CR4	SRR12506353	CR4	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 4	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN04201156	C57BL/6J
CR5	SRR12641937	CR5	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 5	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133330	C57BL/6J
CR6	SRR12641936	CR6	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 6	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133331	C57BL/6J
CR7	SRR12641935	CR7	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 7	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133332	C57BL/6J
CR8	SRR12641934	CR8	Male control mouse at RT and ad libitum food	Cecum sample of Male control mouse at RT and ad libitum food 8	PRJNA646351	Metagenomics of cold exposed mice	Cecum	Switzerland		University of Geneva	SAMN16133333	C57BL/6J
ERR1145758	ERR1145758	Total metagenome of luminal content of group HFHS	Total metagenome of luminal content of group HFHS		PRJEB9833	Spatial disturbances in altered mucosal and luminal gut viromes of diet-induced obese mice	Feces			KYUNG HEE UNIVERSITY	SAMEA3675599	
ERR1145759	ERR1145759	Total metagenome of mucosal content of group HFHS	Total metagenome of mucosal content of group HFHS		PRJEB9833	Spatial disturbances in altered mucosal and luminal gut viromes of diet-induced obese mice	Feces			KYUNG HEE UNIVERSITY	SAMEA3675600	
ERR1562569	ERR1562569	Cecal metagenomic DNA	S1-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376696	C57BL/6
ERR1562570	ERR1562570	Cecal metagenomic DNA	S2-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376697	C57BL/6
ERR1562571	ERR1562571	Cecal metagenomic DNA	S3-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376698	C57BL/6
ERR1562572	ERR1562572	Cecal metagenomic DNA	S4-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376699	C57BL/6
ERR1562573	ERR1562573	Cecal metagenomic DNA	S5-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376700	C57BL/6
ERR1562574	ERR1562574	Cecal metagenomic DNA	S6-Mock		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376701	C57BL/6
ERR1562575	ERR1562575	Cecal metagenomic DNA	S7-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376702	C57BL/6
ERR1562576	ERR1562576	Cecal metagenomic DNA	S8-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376703	C57BL/6
ERR1562577	ERR1562577	Cecal metagenomic DNA	S9-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376704	C57BL/6
ERR1562578	ERR1562578	Cecal metagenomic DNA	S10-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376705	C57BL/6
ERR1562579	ERR1562579	Cecal metagenomic DNA	S11-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376706	C57BL/6
ERR1562580	ERR1562580	Cecal metagenomic DNA	S12-Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376707	C57BL/6
ERR1562581	ERR1562581	Cecal metagenomic DNA	S13-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376708	C57BL/6
ERR1562582	ERR1562582	Cecal metagenomic DNA	S14-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376709	C57BL/6
ERR1562583	ERR1562583	Cecal metagenomic DNA	S15-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376710	C57BL/6
ERR1562584	ERR1562584	Cecal metagenomic DNA	S16-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376711	C57BL/6
ERR1562585	ERR1562585	Cecal metagenomic DNA	S17-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376712	C57BL/6
ERR1562586	ERR1562586	Cecal metagenomic DNA	S18-DSS		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376713	C57BL/6
ERR1562587	ERR1562587	Cecal metagenomic DNA	S19-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376714	C57BL/6
ERR1562588	ERR1562588	Cecal metagenomic DNA	S20-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376715	C57BL/6
ERR1562589	ERR1562589	Cecal metagenomic DNA	S21-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376716	C57BL/6
ERR1562590	ERR1562590	Cecal metagenomic DNA	S22-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376717	C57BL/6
ERR1562591	ERR1562591	Cecal metagenomic DNA	S23-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376718	C57BL/6
ERR1562592	ERR1562592	Cecal metagenomic DNA	S24-DSS_Tungsten		PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	Cecum			UNIVERSITY OF TEXAS SOUTHWESTERN	SAMEA4376719	C57BL/6
ERR1725801	ERR1725801	metagenomics	cycHFD0_3		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542494	C57BL/6
ERR1725804	ERR1725804	metagenomics	cycHFD1_1		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542497	C57BL/6
ERR1725805	ERR1725805	metagenomics	cycHFD1_2		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542498	C57BL/6
ERR1725807	ERR1725807	metagenomics	cycHFD1_4		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542500	C57BL/6
ERR1725818	ERR1725818	metagenomics	HFD0_5		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542511	C57BL/6
ERR1725833	ERR1725833	metagenomics	NC0_5		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542526	C57BL/6
ERR1725834	ERR1725834	metagenomics	NC1_1		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542527	C57BL/6
ERR1725836	ERR1725836	metagenomics	NC1_3		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542529	C57BL/6
ERR1725837	ERR1725837	metagenomics	NC1_4		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542530	C57BL/6
ERR1725838	ERR1725838	metagenomics	NC1_5		PRJEB17697	Persistent microbiome alterations modulate the rate of post-dieting weight regain				WEIZMANN INSTITUTE OF SCIENCE	SAMEA4542531	C57BL/6
ERR192252	ERR192252	Gut microbiota of mice in control group	Control		PRJEB3374	Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe	Feces	China		Nanjing University, China	SAMEA2039681	
ERR192254	ERR192254	Gut microbiota of mice in As group	As		PRJEB3374	Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe	Feces	China		Nanjing University, China	SAMEA2039682	
ERR192256	ERR192256	Gut microbiota of mice in Fe group	Fe		PRJEB3374	Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe	Feces	China		Nanjing University, China	SAMEA2039767	
ERR192258	ERR192258	Gut microbiota of mice in As and Fe group	As and Fe		PRJEB3374	Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe	Feces	China		Nanjing University, China	SAMEA2039768	
ERR2011065	ERR2011065	C_CR_3	1		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128457	
ERR2011066	ERR2011066	C_CR_2	2		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128458	
ERR2011067	ERR2011067	C_CR_1	3		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128459	
ERR2011068	ERR2011068	C_AL_6	4		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128460	
ERR2011069	ERR2011069	C_CR_5	5		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128461	
ERR2011070	ERR2011070	C_AL_1	6		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128462	
ERR2011071	ERR2011071	C_AL_2	7		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128463	
ERR2011072	ERR2011072	C_CR_6	8		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128464	
ERR2011073	ERR2011073	C_CR_4	9		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128465	
ERR2011074	ERR2011074	C_AL_5	10		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128466	
ERR2011075	ERR2011075	C_AL_3	11		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128467	
ERR2011076	ERR2011076	C_AL_4	12		PRJEB21357	gut mcrobiome research	Feces	USA	2015	Michael Hooker Research Center	SAMEA104128468	
ERR2059929	ERR2059929	C_AL_8	MFL1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188564	C57BL/6J
ERR2059930	ERR2059930	Bact_FORTH_LFD_7wk_2	MFL2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188565	C57BL/6J
ERR2059931	ERR2059931	Bact_FORTH_LFD_7wk_3	MFL3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188566	C57BL/6J
ERR2059932	ERR2059932	Bact_FORTH_HFHS_1	MFH1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188567	C57BL/6J
ERR2059933	ERR2059933	Bact_FORTH_HFHS_2	MFH2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188568	C57BL/6J
ERR2059934	ERR2059934	Bact_FORTH_HFHS_3	MFH3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188569	C57BL/6J
ERR2059935	ERR2059935	Bact_FORTH_LFPP_1	MFP1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188570	C57BL/6J
ERR2059936	ERR2059936	Bact_FORTH_LFPP_2	MFP2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188571	C57BL/6J
ERR2059937	ERR2059937	Bact_FORTH_LFPP_3	MFP3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188572	C57BL/6J
ERR2059938	ERR2059938	Bact_FORTH_LFD_16wk_1	MFR1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188573	C57BL/6J
ERR2059939	ERR2059939	Bact_FORTH_LFD_16wk_2	MFR2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188574	C57BL/6J
ERR2059940	ERR2059940	Bact_FORTH_LFD_16wk_3	MFR3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188575	C57BL/6J
ERR2059941	ERR2059941	Bact_BACK_LFD_7wk_1	MRL1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188576	C57BL/6J
ERR2059942	ERR2059942	Bact_BACK_LFD_7wk_2	MRL2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188577	C57BL/6J
ERR2059943	ERR2059943	Bact_BACK_LFD_7wk_3	MRL3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188578	C57BL/6J
ERR2059944	ERR2059944	Bact_BACK_LFPP_1	MRP1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188579	C57BL/6J
ERR2059945	ERR2059945	Bact_BACK_LFPP_2	MRP2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188580	C57BL/6J
ERR2059946	ERR2059946	Bact_BACK_LFPP_3	MRP3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188581	C57BL/6J
ERR2059947	ERR2059947	Bact_BACK_HFHS_1	MRH1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188582	C57BL/6J
ERR2059948	ERR2059948	Bact_BACK_HFHS_2	MRH2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188583	C57BL/6J
ERR2059949	ERR2059949	C_CR_8	MRH3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188584	C57BL/6J
ERR2059950	ERR2059950	C_CR_7	MRR1	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188585	C57BL/6J
ERR2059951	ERR2059951	C_AL_7	MRR2	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188586	C57BL/6J
ERR2059952	ERR2059952	Bact_BACK_LFD_16wk_3	MRR3	fecal bacterial metagenome	PRJEB22007	Lysogeny is prevalent and widely distributed in the murin gut microbiota	Feces			KYUNG HEE UNIVERSITY	SAMEA104188587	C57BL/6J
ERR2136550	ERR2136550	Fecal metagenomics from mice with experimental colitis	663M_t0	Saline control mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104312997	C57BL6/J
ERR2136551	ERR2136551	Fecal metagenomics from mice with experimental colitis	665M_t0	Saline control mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104312998	C57BL6/J
ERR2136552	ERR2136552	Fecal metagenomics from mice with experimental colitis	666M_t0	Saline control mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104312999	C57BL6/J
ERR2136553	ERR2136553	Fecal metagenomics from mice with experimental colitis	667M_t0	T cell treated mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313000	C57BL6/J
ERR2136554	ERR2136554	Fecal metagenomics from mice with experimental colitis	668M_t0	T cell treated mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313001	C57BL6/J
ERR2136555	ERR2136555	Fecal metagenomics from mice with experimental colitis	669M_t0	T cell treated mouse Day 0, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313002	C57BL6/J
ERR2136556	ERR2136556	Fecal metagenomics from mice with experimental colitis	663M_t14	Saline control mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313003	C57BL6/J
ERR2136557	ERR2136557	Fecal metagenomics from mice with experimental colitis	665M_t14	Saline control mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313004	C57BL6/J
ERR2136558	ERR2136558	Fecal metagenomics from mice with experimental colitis	666M_t14	Saline control mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313005	C57BL6/J
ERR2136559	ERR2136559	Fecal metagenomics from mice with experimental colitis	667M_t14	T cell treated mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313006	C57BL6/J
ERR2136560	ERR2136560	Fecal metagenomics from mice with experimental colitis	668M_t14	T cell treated mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313007	C57BL6/J
ERR2136561	ERR2136561	Fecal metagenomics from mice with experimental colitis	669M_t14	T cell treated mouse Day 14, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313008	C57BL6/J
ERR2136562	ERR2136562	Fecal metagenomics from mice with experimental colitis	663M_t42	Saline control mouse Day 42, whole metagenome reads	PRJEB22710	Bacterial and virus like particle (VLP) metagenomics of experimental colitis in mice.	Feces			UNIVERSITY OF COLORADO DENVER, SCHOOL OF MEDICINE	SAMEA104313009	C57BL6/J
